序號,韓文單字,羅馬拼音,中文解釋,英文釋義,TOPIK等級,詞性說明
5667,홍콩,hongkong,香港,Hong Kong,D,專有名詞 (Proper Noun / 고유명사)，如 대구（大邱）。
5668,대만,daeman,台灣（臺灣）,Taiwan,D,專有名詞 (Proper Noun / 고유명사)，如 대구（大邱）。
5669,로스앤젤레스,roseuaenjellesseu,洛杉磯（LA）,Los Angeles (LA),D,專有名詞 (Proper Noun / 고유명사)，如 대구（大邱）。
5670,잘자,jalja,早唞、晚安（平語/非敬語，對朋友晚輩）,"Good night, sleep tight (informal)",A,不變化詞 / 獨立詞 / 未分類詞），用來標記如 그래도（即使那樣/仍然）、걔（那孩子）、그래（是的/那樣） 等
5671,잘 자요,jal jayo,晚安、早唞（日常敬語 / 해요體）,Good night (polite / informal polite),A,不變化詞 / 獨立詞 / 未分類詞），用來標記如 그래도（即使那樣/仍然）、걔（那孩子）、그래（是的/那樣） 等
5672,안녕히 주무세요,annyeonghi jumuseyo,祝您晚安安睡、早唞（長輩/上司尊稱敬語）,"Good night, sleep peacefully (formal honorific / respectful)",A,不變化詞 / 獨立詞 / 未分類詞），用來標記如 그래도（即使那樣/仍然）、걔（那孩子）、그래（是的/那樣） 等
5673,초급,chogeup,初級、初階,"Beginner level, elementary grade",A,名詞 (Noun / 명사)，如 사람（人）、집（家）。
5674,요가,yoga,瑜珈（瑜伽）,Yoga,A,名詞 (Noun / 명사)，如 사람（人）、집（家）。
5675,봐,bwa,睇下、睇睇、看、看吧（動詞 보다 平語口語形）,"Look, see, watch (informal spoken form of 보다)",A,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
5676,회,hoe,生魚片、生肉片（膾）,"Raw fish, sashimi, raw meat dish (hoe)",A,名詞 (Noun / 명사)，如 사람（人）、집（家）。
5677,안녕하세요,annyeonghaseyo,您好、你好（日常最常用敬語問候）,"Hello, good day, how are you (polite)",A,不變化詞 / 獨立詞 / 未分類詞），用來標記如 그래도（即使那樣/仍然）、걔（那孩子）、그래（是的/那樣） 等
5678,감사합니다,gamsahapnida,感謝您、謝謝（正式最高敬語）,"Thank you, thank you very much (formal)",A,不變化詞 / 獨立詞 / 未分類詞），用來標記如 그래도（即使那樣/仍然）、걔（那孩子）、그래（是的/那樣） 等
5679,고마워요,gomawoyo,謝謝你、多謝（해요體親切敬語，原形 고맙다）,Thank you (informal polite / 해요체),A,形容詞 (Adjective / 형용사)，如 크다（大）、좋다（好）。
5680,귀여워요,gwiyeowoyo,好可愛、真可愛（해요體現在式，原形 귀엽다）,"Cute, so cute (polite present of 귀엽다)",A,形容詞 (Adjective / 형용사)，如 크다（大）、좋다（好）。
5681,괜찮아요,gwaenchanhayo,沒關係、還可以、沒事（해요體日常敬語，原形 괜찮다）,"It's okay, alright, no problem (polite)",A,形容詞 (Adjective / 형용사)，如 크다（大）、좋다（好）。
5682,알았어,alasseo,知道了、明白、好（動詞 알다 平語口語形）,"Got it, I understand, okay (informal)",A,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
5683,돌솥,dolsot,石鍋、石釜（如石鍋拌飯 돌솥비빔밥）,"Stone pot, stone bowl (hot stone pot for bibimbap)",A,名詞 (Noun / 명사)，如 사람（人）、집（家）。
5684,로마,roma,羅馬（義大利首都、古羅馬）,"Rome (capital of Italy, ancient Rome)",D,專有名詞 (Proper Noun / 고유명사)，如 대구（大邱）。
5685,우비,ubi,雨衣、雨披（漢字詞：雨衣）,"Raincoat, rain poncho",A,名詞 (Noun / 명사)，如 사람（人）、집（家）。
5686,티비,tibi,電視、TV（電視機，日常高頻口語簡稱）,"TV, television (colloquial abbreviation of 텔레비전)",A,名詞 (Noun / 명사)，如 사람（人）、집（家）。
